,text,location,timestamp
0,"At 4:25 PM EDT, 1 SW Fairfax [Fairfax Co, VA] BROADCAST MEDIA reports FLOOD. RT. 50 CLOSED AT VA-123 IN CITY OF FAIRFAX DUE TO HIGH WATER. https://mesonet.agron.iastate.edu/lsr/#LWX/201908152025/201908152025 …",Minnesota,2019-08-15 20:32:10
1,"At 4:25 PM EDT, 1 SW Fairfax [Fairfax Co, VA] BROADCAST MEDIA reports FLOOD. RT. 50 CLOSED AT VA-123 IN CITY OF FAIRFAX DUE TO HIGH WATER. https://mesonet.agron.iastate.edu/lsr/#LWX/201908152025/201908152025 …",Minnesota,2019-08-15 20:32:10
2,YALL DONE PISSED IMELDA OFF RT for no flood ins #Imelda #Coco #Disneypic.twitter.com/Gp0s2xnxHQ,Minnesota,2019-09-19 19:47:32
3,"A lot of you know that I’m from SE Texas (Port Neches and Port Arthur) and my parents are still in PAT. I’ll RT flood coverage and information until it’s over, and standing by if anyone needs emergency info or Cajun Navy contacts.

We will get through this. #imelda #409status",Minnesota,2019-09-19 13:54:10
4,Praying for the people of #Texas facing the flood. May God keep a hedge of protection over you and your families. #rt #powerofprayer,Minnesota,2019-09-20 13:58:17
5,YALL DONE PISSED IMELDA OFF RT for no flood ins #Imelda #Coco #Disneypic.twitter.com/Gp0s2xnxHQ,Minnesota,2019-09-19 19:47:32
6,"A lot of you know that I’m from SE Texas (Port Neches and Port Arthur) and my parents are still in PAT. I’ll RT flood coverage and information until it’s over, and standing by if anyone needs emergency info or Cajun Navy contacts.

We will get through this. #imelda #409status",Minnesota,2019-09-19 13:54:10
7,"At 9:33 PM EDT, 2 NNW Rouseville [Venango Co, PA] 911 CALL CENTER reports FLASH FLOOD. RT 8 CLOSED BETWEEN KANE RUN RD AND GIBSON HILL RD https://mesonet.agron.iastate.edu/lsr/#PBZ/201909020133/201909020133 …",Minnesota,2019-09-02 01:43:00
8,"At 9:33 PM EDT, 2 NNW Rouseville [Venango Co, PA] 911 CALL CENTER reports FLASH FLOOD. RT 8 CLOSED BETWEEN KANE RUN RD AND GIBSON HILL RD https://mesonet.agron.iastate.edu/lsr/#PBZ/201909020133/201909020133 …",Minnesota,2019-09-02 01:43:00
9,"Raise you  if you would  to see more uplifting stories on Twitter, rather than all the negative stories as of late, especially involving Trump and politicians. Please RT and let’s flood the TwitterVerse with positivity!!!",Minnesota,2019-08-11 18:38:37
10,"Raise you  if you would  to see more uplifting stories on Twitter, rather than all the negative stories as of late, especially involving Trump and politicians. Please RT and let’s flood the TwitterVerse with positivity!!!",Minnesota,2019-08-11 18:38:37
11,"Hey #champforkids family! Let’s flood @CristinaDajero with birthday wishes today to help celebrate an amazing educator, colleague, and FRIEND!  RT to spread the word! @jasongriffinccs @hayes_melisa @iluveducating @_on11 @megan_hacholski @MarapaoMs @MrPStrunk @PHausEDU @asdajeropic.twitter.com/D5IMFF3JJO",Minnesota,2019-08-28 10:51:33
12,This should be RT every hour your on Social . Flood the feeds with it ! Help @codeofvets ,Minnesota,2019-08-25 01:54:55
13,"Hey #champforkids family! Let’s flood @CristinaDajero with birthday wishes today to help celebrate an amazing educator, colleague, and FRIEND!  RT to spread the word! @jasongriffinccs @hayes_melisa @iluveducating @_on11 @megan_hacholski @MarapaoMs @MrPStrunk @PHausEDU @asdajeropic.twitter.com/D5IMFF3JJO",Minnesota,2019-08-28 10:51:33
14,This should be RT every hour your on Social . Flood the feeds with it ! Help @codeofvets ,Minnesota,2019-08-25 01:54:55
15,"At 6:58 AM EDT, 3 NW Kenmore [Erie Co, NY] DEPT OF HIGHWAYS reports FLASH FLOOD. RT 266 CLOSED FROM SHERIDAN DRIVE TO GRAND ISLAND BLVD DUE TO FLOODING. https://mesonet.agron.iastate.edu/lsr/#BUF/201908211058/201908211058 …",Minnesota,2019-08-21 11:28:29
16,"At 6:58 AM EDT, 3 NW Kenmore [Erie Co, NY] DEPT OF HIGHWAYS reports FLASH FLOOD. RT 266 CLOSED FROM SHERIDAN DRIVE TO GRAND ISLAND BLVD DUE TO FLOODING. https://mesonet.agron.iastate.edu/lsr/#BUF/201908211058/201908211058 …",Minnesota,2019-08-21 11:28:29
17,"At 4:28 PM EDT, Lynn [Essex Co, MA] AMATEUR RADIO reports FLOOD. RT 107 NEAR SAUGUS LINE STREET FLOODING https://mesonet.agron.iastate.edu/lsr/#BOX/201907312028/201907312028 …",Minnesota,2019-08-02 01:01:36
18,"At 4:28 PM EDT, Lynn [Essex Co, MA] AMATEUR RADIO reports FLOOD. RT 107 NEAR SAUGUS LINE STREET FLOODING https://mesonet.agron.iastate.edu/lsr/#BOX/201907312028/201907312028 …",Minnesota,2019-08-02 01:01:36
19,@MSNBC WTH do u guys talk conspiracy theories. Ur only giving trump & his cohorts talking points. PLEASE PLEASE STOP ABOUT THESE FRIGGIN EMAILS. ITS DEAD IN THE WATER. DONT BRING TO LIFE. RESISTANCE PLEASE RT THIS OVER & OVER. FLOOD THEIR TWITTER ACCOUNT,Minnesota,2019-09-30 15:04:33
20,"@Qanon76 @foxandfriends @RepGosar @Jim_Jordan @RealCandaceO how do we get all GOP members in Congress and the House tweeting and FB posting about the Democrats abuses and misdeeds on a daily basis?

RT if you want to flood the airways with the #TruthWinshttps://twitter.com/realDonaldTrump/status/1178055467987275776 …",Minnesota,2019-09-28 21:24:29
21,"At 9:00 PM CDT, 2 WNW Lockport [Will Co, IL] NWS EMPLOYEE reports FLASH FLOOD. RT 53 FLOODED AND CLOSED BETWEEN RENWICK AND TAYLOR. ALSO, WEBER FLOODED AND CLOSED BETWEEN RENSICK AND AIRPORT RD. https://mesonet.agron.iastate.edu/lsr/#LOT/201909280200/201909280200 …",Minnesota,2019-09-28 03:07:16
22,"Hey @stoolpresidente, heard you’re coming to Buffalo on Sunday. 

You know you want to review the famous Filing Cabinet Pizza!!

(Please RT and flood his inbox so he comes.)

#GoBillspic.twitter.com/jVpZhPDpBK",Minnesota,2019-09-26 12:42:35
23,@MSNBC WTH do u guys talk conspiracy theories. Ur only giving trump & his cohorts talking points. PLEASE PLEASE STOP ABOUT THESE FRIGGIN EMAILS. ITS DEAD IN THE WATER. DONT BRING TO LIFE. RESISTANCE PLEASE RT THIS OVER & OVER. FLOOD THEIR TWITTER ACCOUNT,Minnesota,2019-09-30 15:04:33
24,"@Qanon76 @foxandfriends @RepGosar @Jim_Jordan @RealCandaceO how do we get all GOP members in Congress and the House tweeting and FB posting about the Democrats abuses and misdeeds on a daily basis?

RT if you want to flood the airways with the #TruthWinshttps://twitter.com/realDonaldTrump/status/1178055467987275776 …",Minnesota,2019-09-28 21:24:29
25,"At 9:00 PM CDT, 2 WNW Lockport [Will Co, IL] NWS EMPLOYEE reports FLASH FLOOD. RT 53 FLOODED AND CLOSED BETWEEN RENWICK AND TAYLOR. ALSO, WEBER FLOODED AND CLOSED BETWEEN RENSICK AND AIRPORT RD. https://mesonet.agron.iastate.edu/lsr/#LOT/201909280200/201909280200 …",Minnesota,2019-09-28 03:07:16
26,"Hey @stoolpresidente, heard you’re coming to Buffalo on Sunday. 

You know you want to review the famous Filing Cabinet Pizza!!

(Please RT and flood his inbox so he comes.)

#GoBillspic.twitter.com/jVpZhPDpBK",Minnesota,2019-09-26 12:42:35
27,Ok PLN and Friends....I need your help/ support. My sister just moved into an Assisted Living/ Nursing Home. She has Early Onset Dementia. Her 63rd birthday is on Friday September 13. How cool would it be to FLOOD her with KINDNESS from ALL over Twitter World! Spread and RT this! pic.twitter.com/xil2fFw9Sy,Minnesota,2019-09-07 23:50:20
28,Ok PLN and Friends....I need your help/ support. My sister just moved into an Assisted Living/ Nursing Home. She has Early Onset Dementia. Her 63rd birthday is on Friday September 13. How cool would it be to FLOOD her with KINDNESS from ALL over Twitter World! Spread and RT this! pic.twitter.com/xil2fFw9Sy,Minnesota,2019-09-07 23:50:20
